"filename", "language", "JavaScript", "HTML", "PostCSS", "comment", "blank", "total"
"/Users/brandon/Documents/GitHub/farkle/css/styles.css", "PostCSS", 0, 0, 101, 17, 20, 138
"/Users/brandon/Documents/GitHub/farkle/index.html", "HTML", 0, 8, 0, 1, 0, 9
"/Users/brandon/Documents/GitHub/farkle/js/firebase-config.js", "JavaScript", 54, 0, 0, 20, 11, 85
"/Users/brandon/Documents/GitHub/farkle/js/firebase-room-manager.js", "JavaScript", 365, 0, 0, 60, 83, 508
"/Users/brandon/Documents/GitHub/farkle/js/firebase-state-manager.js", "JavaScript", 376, 0, 0, 65, 85, 526
"/Users/brandon/Documents/GitHub/farkle/js/firebase/firebase-admin.js", "JavaScript", 146, 0, 0, 35, 26, 207
"/Users/brandon/Documents/GitHub/farkle/js/firebase/firebase-database.js", "JavaScript", 28, 0, 0, 33, 8, 69
"/Users/brandon/Documents/GitHub/farkle/js/firebase/firebase-init.js", "JavaScript", 14, 0, 0, 4, 5, 23
"/Users/brandon/Documents/GitHub/farkle/js/game-settings.js", "JavaScript", 87, 0, 0, 14, 12, 113
"/Users/brandon/Documents/GitHub/farkle/js/game.js", "JavaScript", 298, 0, 0, 70, 65, 433
"/Users/brandon/Documents/GitHub/farkle/js/turn-system-integration.js", "JavaScript", -8, 0, 0, 1, -1, -8
"/Users/brandon/Documents/GitHub/farkle/js/ui/player-list-ui.js", "JavaScript", 127, 0, 0, 37, 26, 190
"/Users/brandon/Documents/GitHub/farkle/js/ui/room-ui.js", "JavaScript", 165, 0, 0, 54, 30, 249
"/Users/brandon/Documents/GitHub/farkle/js/webrtc-simple.js", "JavaScript", -439, 0, 0, -41, -84, -564
"/Users/brandon/Documents/GitHub/farkle/js/webrtc.js", "JavaScript", -247, 0, 0, -22, -54, -323
"/Users/brandon/Documents/GitHub/farkle/test-case-insensitive.html", "HTML", 0, 106, 0, 0, 14, 120
"/Users/brandon/Documents/GitHub/farkle/test-locked-dice.html", "HTML", 0, 69, 0, 0, 9, 78
"/Users/brandon/Documents/GitHub/farkle/test-url-sharing.html", "HTML", 0, 63, 0, 0, 10, 73
"Total", "-", 966, 246, 101, 348, 265, 1926
